wavenum,freq,power
-144.0,-0.5,1.997067925701861e-09
-144.0,-0.49444444444444446,7.409907262289302e-10
-144.0,-0.4888888888888889,8.206115504447936e-10
-144.0,-0.48333333333333334,8.688903653758437e-10
-144.0,-0.4777777777777778,5.896811407692268e-10
-144.0,-0.4722222222222222,1.202906275902947e-09
-144.0,-0.4666666666666667,1.3859236370276036e-09
-144.0,-0.46111111111111114,1.6816163774728921e-09
-144.0,-0.45555555555555555,3.464913416020619e-10
-144.0,-0.45,9.858174492897854e-10
-144.0,-0.4444444444444444,5.772430523022339e-10
-144.0,-0.4388888888888889,4.651851132847205e-09
-144.0,-0.43333333333333335,8.03578526323722e-10
-144.0,-0.42777777777777776,1.7603451833429285e-09
-144.0,-0.4222222222222222,9.159083652658715e-10
-144.0,-0.4166666666666667,1.2458895729166993e-09
-144.0,-0.4111111111111111,9.436844228595576e-10
-144.0,-0.40555555555555556,2.8778956000211593e-10
-144.0,-0.4,2.9831922232019426e-10
-144.0,-0.39444444444444443,1.951536550158866e-09
-144.0,-0.3888888888888889,1.057292568143648e-09
-144.0,-0.38333333333333336,2.902769660409163e-09
-144.0,-0.37777777777777777,1.0798624236830585e-09
-144.0,-0.37222222222222223,8.747042815717581e-10
-144.0,-0.36666666666666664,3.754010125617556e-10
-144.0,-0.3611111111111111,1.7864017157559416e-10
-144.0,-0.35555555555555557,1.891643709287944e-09
-144.0,-0.35,1.2571707876831876e-09
-144.0,-0.34444444444444444,2.9855391972436764e-09
-144.0,-0.3388888888888889,3.5305134762240763e-09
-144.0,-0.3333333333333333,1.6846458000229655e-10
-144.0,-0.3277777777777778,3.565765485491644e-09
-144.0,-0.32222222222222224,1.0526328490330858e-09
-144.0,-0.31666666666666665,1.0484324137741247e-09
-144.0,-0.3111111111111111,7.682600184567174e-09
-144.0,-0.3055555555555556,1.0392636070922922e-09
-144.0,-0.3,1.8558431971446696e-09
-144.0,-0.29444444444444445,3.779795491835769e-09
-144.0,-0.28888888888888886,4.4259445252419804e-09
-144.0,-0.2833333333333333,3.06881157344218e-09
-144.0,-0.2777777777777778,2.352315140352287e-09
-144.0,-0.2722222222222222,1.3216147563875694e-08
-144.0,-0.26666666666666666,2.57669681553701e-09
-144.0,-0.2611111111111111,3.282048439209001e-09
-144.0,-0.25555555555555554,1.5133988082968833e-09
-144.0,-0.25,6.27126153956381e-09
-144.0,-0.24444444444444444,1.3915917631741432e-09
-144.0,-0.2388888888888889,2.4551365141842466e-09
-144.0,-0.23333333333333334,2.4978641562795577e-09
-144.0,-0.22777777777777777,9.55791179496084e-09
-144.0,-0.2222222222222222,1.9481782647877717e-09
-144.0,-0.21666666666666667,2.761862863162491e-09
-144.0,-0.2111111111111111,9.23128042884866e-09
-144.0,-0.20555555555555555,3.3864945800259107e-09
-144.0,-0.2,1.3820707404518924e-09
-144.0,-0.19444444444444445,1.916363788275355e-09
-144.0,-0.18888888888888888,3.228350808278282e-09
-144.0,-0.18333333333333332,8.015360641610538e-09
-144.0,-0.17777777777777778,4.631478738559601e-09
-144.0,-0.17222222222222222,2.896528811054267e-09
-144.0,-0.16666666666666666,1.1491373913463018e-09
-144.0,-0.16111111111111112,1.1641724226580226e-09
-144.0,-0.15555555555555556,4.556341755798333e-09
-144.0,-0.15,2.8305951084817775e-09
-144.0,-0.14444444444444443,3.4943502991659576e-09
-144.0,-0.1388888888888889,1.6969566825905895e-09
-144.0,-0.13333333333333333,5.66899921235461e-09
-144.0,-0.12777777777777777,1.4049795616141893e-09
-144.0,-0.12222222222222222,2.5872432409874934e-09
-144.0,-0.11666666666666667,5.881224686473149e-09
-144.0,-0.1111111111111111,2.118274625287564e-09
-144.0,-0.10555555555555556,3.902290356390913e-09
-144.0,-0.1,8.283152156697217e-09
-144.0,-0.09444444444444444,9.258321638202897e-09
-144.0,-0.08888888888888889,1.6196941297019137e-09
-144.0,-0.08333333333333333,9.788790677987262e-09
-144.0,-0.07777777777777778,1.2534390650318833e-08
-144.0,-0.07222222222222222,7.201129060974789e-09
-144.0,-0.06666666666666667,6.640184533218441e-09
-144.0,-0.06111111111111111,3.856277125009625e-09
-144.0,-0.05555555555555555,1.0476148108473431e-08
-144.0,-0.05,2.854976766007682e-09
-144.0,-0.044444444444444446,7.2331984788840854e-09
-144.0,-0.03888888888888889,5.194900922353511e-09
-144.0,-0.03333333333333333,9.203762535149152e-09
-144.0,-0.027777777777777776,7.178701928570492e-09
-144.0,-0.022222222222222223,1.572118321398664e-08
-144.0,-0.016666666666666666,2.69016042840037e-09
-144.0,-0.011111111111111112,8.041283341835282e-09
-144.0,-0.005555555555555556,1.3613039548057035e-08
-144.0,0.0,2.0944901709007702e-08
-144.0,0.005555555555555556,1.3613039548057035e-08
-144.0,0.011111111111111112,8.041283341835282e-09
-144.0,0.016666666666666666,2.69016042840037e-09
-144.0,0.022222222222222223,1.572118321398664e-08
-144.0,0.027777777777777776,7.178701928570492e-09
-144.0,0.03333333333333333,9.203762535149152e-09
-144.0,0.03888888888888889,5.194900922353511e-09
-144.0,0.044444444444444446,7.2331984788840854e-09
-144.0,0.05,2.854976766007682e-09
-144.0,0.05555555555555555,1.0476148108473431e-08
-144.0,0.06111111111111111,3.856277125009625e-09
-144.0,0.06666666666666667,6.640184533218441e-09
-144.0,0.07222222222222222,7.201129060974789e-09
-144.0,0.07777777777777778,1.2534390650318833e-08
-144.0,0.08333333333333333,9.788790677987262e-09
-144.0,0.08888888888888889,1.6196941297019137e-09
-144.0,0.09444444444444444,9.258321638202897e-09
-144.0,0.1,8.283152156697217e-09
-144.0,0.10555555555555556,3.902290356390913e-09
-144.0,0.1111111111111111,2.118274625287564e-09
-144.0,0.11666666666666667,5.881224686473149e-09
-144.0,0.12222222222222222,2.5872432409874934e-09
-144.0,0.12777777777777777,1.4049795616141893e-09
-144.0,0.13333333333333333,5.66899921235461e-09
-144.0,0.1388888888888889,1.6969566825905895e-09
-144.0,0.14444444444444443,3.4943502991659576e-09
-144.0,0.15,2.8305951084817775e-09
-144.0,0.15555555555555556,4.556341755798333e-09
-144.0,0.16111111111111112,1.1641724226580226e-09
-144.0,0.16666666666666666,1.1491373913463018e-09
-144.0,0.17222222222222222,2.896528811054267e-09
-144.0,0.17777777777777778,4.631478738559601e-09
-144.0,0.18333333333333332,8.015360641610538e-09
-144.0,0.18888888888888888,3.228350808278282e-09
-144.0,0.19444444444444445,1.916363788275355e-09
-144.0,0.2,1.3820707404518924e-09
-144.0,0.20555555555555555,3.3864945800259107e-09
-144.0,0.2111111111111111,9.23128042884866e-09
-144.0,0.21666666666666667,2.761862863162491e-09
-144.0,0.2222222222222222,1.9481782647877717e-09
-144.0,0.22777777777777777,9.55791179496084e-09
-144.0,0.23333333333333334,2.4978641562795577e-09
-144.0,0.2388888888888889,2.4551365141842466e-09
-144.0,0.24444444444444444,1.3915917631741432e-09
-144.0,0.25,6.27126153956381e-09
-144.0,0.25555555555555554,1.5133988082968833e-09
-144.0,0.2611111111111111,3.282048439209001e-09
-144.0,0.26666666666666666,2.57669681553701e-09
-144.0,0.2722222222222222,1.3216147563875694e-08
-144.0,0.2777777777777778,2.352315140352287e-09
-144.0,0.2833333333333333,3.06881157344218e-09
-144.0,0.28888888888888886,4.4259445252419804e-09
-144.0,0.29444444444444445,3.779795491835769e-09
-144.0,0.3,1.8558431971446696e-09
-144.0,0.3055555555555556,1.0392636070922922e-09
-144.0,0.3111111111111111,7.682600184567174e-09
-144.0,0.31666666666666665,1.0484324137741247e-09
-144.0,0.32222222222222224,1.0526328490330858e-09
-144.0,0.3277777777777778,3.565765485491644e-09
-144.0,0.3333333333333333,1.6846458000229655e-10
-144.0,0.3388888888888889,3.5305134762240763e-09
-144.0,0.34444444444444444,2.9855391972436764e-09
-144.0,0.35,1.2571707876831876e-09
-144.0,0.35555555555555557,1.891643709287944e-09
-144.0,0.3611111111111111,1.7864017157559416e-10
-144.0,0.36666666666666664,3.754010125617556e-10
-144.0,0.37222222222222223,8.747042815717581e-10
-144.0,0.37777777777777777,1.0798624236830585e-09
-144.0,0.38333333333333336,2.902769660409163e-09
-144.0,0.3888888888888889,1.057292568143648e-09
-144.0,0.39444444444444443,1.951536550158866e-09
-144.0,0.4,2.9831922232019426e-10
-144.0,0.40555555555555556,2.8778956000211593e-10
-144.0,0.4111111111111111,9.436844228595576e-10
-144.0,0.4166666666666667,1.2458895729166993e-09
-144.0,0.4222222222222222,9.159083652658715e-10
-144.0,0.42777777777777776,1.7603451833429285e-09
-144.0,0.43333333333333335,8.03578526323722e-10
-144.0,0.4388888888888889,4.651851132847205e-09
-144.0,0.4444444444444444,5.772430523022339e-10
-144.0,0.45,9.858174492897854e-10
-144.0,0.45555555555555555,3.464913416020619e-10
-144.0,0.46111111111111114,1.6816163774728921e-09
-144.0,0.4666666666666667,1.3859236370276036e-09
-144.0,0.4722222222222222,1.202906275902947e-09
-144.0,0.4777777777777778,5.896811407692268e-10
-144.0,0.48333333333333334,8.688903653758437e-10
-144.0,0.4888888888888889,8.206115504447936e-10
-144.0,0.49444444444444446,7.409907262289302e-10
-144.0,0.5,1.997067925701861e-09
-143.0,-0.5,6.310120422056662e-11
-143.0,-0.49444444444444446,1.3231757808161855e-09
-143.0,-0.4888888888888889,8.986819784801278e-10
-143.0,-0.48333333333333334,1.899197214545113e-10
-143.0,-0.4777777777777778,8.843417005212893e-10
-143.0,-0.4722222222222222,8.873797881514323e-10
-143.0,-0.4666666666666667,2.8861314443738044e-10
-143.0,-0.46111111111111114,1.2724544586106682e-09
-143.0,-0.45555555555555555,2.8161363445518558e-09
-143.0,-0.45,3.545222520192192e-09
-143.0,-0.4444444444444444,4.942124513365042e-10
-143.0,-0.4388888888888889,1.5953701737776565e-09
-143.0,-0.43333333333333335,8.772020648909873e-10
-143.0,-0.42777777777777776,8.82883910333954e-10
-143.0,-0.4222222222222222,9.975452755180801e-11
-143.0,-0.4166666666666667,1.545780212055573e-09
-143.0,-0.4111111111111111,1.560961447850029e-10
-143.0,-0.40555555555555556,5.907800775850192e-10
-143.0,-0.4,1.3539461608236166e-09
-143.0,-0.39444444444444443,1.3269093509605944e-09
-143.0,-0.3888888888888889,1.785590822551054e-09
-143.0,-0.38333333333333336,7.809471779946271e-10
-143.0,-0.37777777777777777,3.6202738347853265e-10
-143.0,-0.37222222222222223,1.0424502972729972e-09
-143.0,-0.36666666666666664,1.1710856952570824e-09
-143.0,-0.3611111111111111,3.097016486072543e-09
-143.0,-0.35555555555555557,2.6262125905345613e-09
-143.0,-0.35,2.740825565309386e-09
-143.0,-0.34444444444444444,3.5562455404254033e-09
-143.0,-0.3388888888888889,2.1678027966617132e-09
-143.0,-0.3333333333333333,1.0481652603017922e-09
-143.0,-0.3277777777777778,1.0773499061371396e-09
-143.0,-0.32222222222222224,2.9212781207810892e-09
-143.0,-0.31666666666666665,9.800953317512984e-10
-143.0,-0.3111111111111111,3.0074698700307155e-09
-143.0,-0.3055555555555556,8.759404351371922e-10
-143.0,-0.3,1.972781271462438e-09
-143.0,-0.29444444444444445,1.0559850770348952e-09
-143.0,-0.28888888888888886,7.701598840727533e-10
-143.0,-0.2833333333333333,3.710877209367419e-10
-143.0,-0.2777777777777778,3.3114620646126285e-09
-143.0,-0.2722222222222222,7.145496008620739e-09
-143.0,-0.26666666666666666,1.584204729659603e-09
-143.0,-0.2611111111111111,2.4627248123716328e-09
-143.0,-0.25555555555555554,1.8246124606024271e-09
-143.0,-0.25,3.116481659791553e-09
-143.0,-0.24444444444444444,5.840671427879604e-09
-143.0,-0.2388888888888889,1.5443977419878238e-09
-143.0,-0.23333333333333334,3.495659959049472e-09
-143.0,-0.22777777777777777,4.3836254719800834e-09
-143.0,-0.2222222222222222,1.1128679565027608e-08
-143.0,-0.21666666666666667,4.8015990611607875e-09
-143.0,-0.2111111111111111,6.199491345408618e-09
-143.0,-0.20555555555555555,2.190362764182652e-09
-143.0,-0.2,2.399552675789553e-09
-143.0,-0.19444444444444445,2.570537777533358e-09
-143.0,-0.18888888888888888,6.08808481418115e-10
-143.0,-0.18333333333333332,1.0313774751993286e-08
-143.0,-0.17777777777777778,3.24750908621906e-09
-143.0,-0.17222222222222222,2.4614635975824726e-09
-143.0,-0.16666666666666666,4.084704384840305e-09
-143.0,-0.16111111111111112,4.3057655807467066e-09
-143.0,-0.15555555555555556,5.4115216093406985e-09
-143.0,-0.15,5.539973848639754e-09
-143.0,-0.14444444444444443,9.517325462108795e-09
-143.0,-0.1388888888888889,4.056843608968215e-09
-143.0,-0.13333333333333333,3.0705717685689893e-10
-143.0,-0.12777777777777777,4.213946538919514e-09
-143.0,-0.12222222222222222,6.273297021238588e-09
-143.0,-0.11666666666666667,1.407197755819965e-09
-143.0,-0.1111111111111111,1.6250174399378012e-08
-143.0,-0.10555555555555556,4.303811576499744e-09
-143.0,-0.1,2.685972264377434e-09
-143.0,-0.09444444444444444,6.149727264463791e-09
-143.0,-0.08888888888888889,6.97741642104683e-10
-143.0,-0.08333333333333333,6.259861864474772e-09
-143.0,-0.07777777777777778,7.980551282510156e-09
-143.0,-0.07222222222222222,6.961064697339106e-09
-143.0,-0.06666666666666667,5.5595406030997045e-09
-143.0,-0.06111111111111111,7.584505546348907e-10
-143.0,-0.05555555555555555,5.366540370011159e-09
-143.0,-0.05,7.700809044682407e-09
-143.0,-0.044444444444444446,7.794403947385453e-09
-143.0,-0.03888888888888889,1.1770673833108008e-08
-143.0,-0.03333333333333333,5.942376385354131e-09
-143.0,-0.027777777777777776,9.125509995892796e-09
-143.0,-0.022222222222222223,3.5674387651732274e-09
-143.0,-0.016666666666666666,1.0888827946546676e-08
-143.0,-0.011111111111111112,2.085971288529448e-08
-143.0,-0.005555555555555556,5.289054837269444e-09
-143.0,0.0,1.9336191170957682e-08
-143.0,0.005555555555555556,6.099660525393489e-09
-143.0,0.011111111111111112,1.9224418332383122e-08
-143.0,0.016666666666666666,4.452558099485012e-09
-143.0,0.022222222222222223,2.245586454909138e-08
-143.0,0.027777777777777776,8.35681655632138e-09
-143.0,0.03333333333333333,1.1506589930932995e-08
-143.0,0.03888888888888889,1.471841715452412e-08
-143.0,0.044444444444444446,1.2180879619934315e-08
-143.0,0.05,3.870433515782785e-09
-143.0,0.05555555555555555,2.24299713120021e-08
-143.0,0.06111111111111111,5.196194453610164e-09
-143.0,0.06666666666666667,1.0348421232086839e-08
-143.0,0.07222222222222222,1.4883533081164602e-08
-143.0,0.07777777777777778,7.131569490817227e-09
