 Copyright (C) 1995-2019 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.6.2
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.
(0)	Season Name: summer
(0)	Bandwidth (bw): 0.00555556
(0)	Average Variance (vari/xvari): 0.485729
(0)	Average Lag One Day Autocorrelation (xlag1): 0.775136
(0)	Segment Averaged Spectra (spcx):
(0)	3.844551
(1)	3.341773
(2)	2.692497
(3)	1.02839
(4)	0.7567963
(5)	10.27251
(6)	4.667519
(7)	8.017562
(8)	4.00358
(9)	8.852008
(10)	1.14834
(11)	8.458369
(12)	0.930392
(13)	2.447259
(14)	2.000561
(15)	0.4170916
(16)	0.6641882
(17)	1.75458
(18)	0.9622958
(19)	1.284114
(20)	0.7998578
(21)	1.613737
(22)	0.9214602
(23)	1.897331
(24)	0.3691256
(25)	0.4290164
(26)	0.6003494
(27)	0.1966978
(28)	0.460628
(29)	0.3784191
(30)	1.171463
(31)	1.762926
(32)	0.3540322
(33)	1.111439
(34)	0.9032609
(35)	0.4013624
(36)	0.3372618
(37)	0.2761617
(38)	0.2238833
(39)	0.4397225
(40)	0.2230977
(41)	0.3136713
(42)	0.4891846
(43)	0.2656161
(44)	0.3575586
(45)	0.3117417
(46)	0.2706546
(47)	0.3271823
(48)	0.1941486
(49)	0.1370932
(50)	0.1453083
(51)	0.07392507
(52)	0.187025
(53)	0.2241629
(54)	0.1029176
(55)	0.1012845
(56)	0.1101721
(57)	0.1227674
(58)	0.08366112
(59)	0.1578314
(60)	0.2502542
(61)	0.08517329
(62)	0.05739387
(63)	0.365446
(64)	0.1792427
(65)	0.1787785
(66)	0.1127094
(67)	0.1832689
(68)	0.1360761
(69)	0.1277028
(70)	0.1278486
(71)	0.07900563
(72)	0.03375359
(73)	0.1104828
(74)	0.06050691
(75)	0.01282714
(76)	0.05506314
(77)	0.03363631
(78)	0.151477
(79)	0.05000414
(80)	0.06931049
(81)	0.03400388
(82)	0.0776507
(83)	0.1411075
(84)	0.01031113
(85)	0.06682605
(86)	0.03940033
(87)	0.02800445
(88)	0.09591589
(89)	0.01740523
(0)	Frequencies (frq):
(0)	0.005555556
(1)	0.01111111
(2)	0.01666667
(3)	0.02222222
(4)	0.02777778
(5)	0.03333334
(6)	0.03888889
(7)	0.04444445
(8)	0.05
(9)	0.05555556
(10)	0.06111111
(11)	0.06666667
(12)	0.07222223
(13)	0.07777778
(14)	0.08333334
(15)	0.08888889
(16)	0.09444445
(17)	0.1
(18)	0.1055556
(19)	0.1111111
(20)	0.1166667
(21)	0.1222222
(22)	0.1277778
(23)	0.1333333
(24)	0.1388889
(25)	0.1444445
(26)	0.15
(27)	0.1555556
(28)	0.1611111
(29)	0.1666667
(30)	0.1722222
(31)	0.1777778
(32)	0.1833333
(33)	0.1888889
(34)	0.1944444
(35)	0.2
(36)	0.2055556
(37)	0.2111111
(38)	0.2166667
(39)	0.2222222
(40)	0.2277778
(41)	0.2333333
(42)	0.2388889
(43)	0.2444444
(44)	0.25
(45)	0.2555556
(46)	0.2611111
(47)	0.2666667
(48)	0.2722222
(49)	0.2777778
(50)	0.2833333
(51)	0.2888889
(52)	0.2944444
(53)	0.3
(54)	0.3055556
(55)	0.3111111
(56)	0.3166667
(57)	0.3222222
(58)	0.3277778
(59)	0.3333333
(60)	0.3388889
(61)	0.3444445
(62)	0.35
(63)	0.3555556
(64)	0.3611111
(65)	0.3666667
(66)	0.3722222
(67)	0.3777778
(68)	0.3833333
(69)	0.3888889
(70)	0.3944444
(71)	0.4
(72)	0.4055555
(73)	0.4111111
(74)	0.4166667
(75)	0.4222222
(76)	0.4277778
(77)	0.4333333
(78)	0.4388889
(79)	0.4444444
(80)	0.45
(81)	0.4555556
(82)	0.4611111
(83)	0.4666667
(84)	0.4722222
(85)	0.4777778
(86)	0.4833333
(87)	0.4888889
(88)	0.4944444
(89)	0.5
