 Copyright (C) 1995-2019 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.6.2
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.
(0)	Season Name: annual
(0)	Bandwidth (bw): 0.00273973
(0)	Average Variance (vari/xvari): 0.556656
(0)	Average Lag One Day Autocorrelation (xlag1): 0.806595
(0)	Segment Averaged Spectra (spcx):
(0)	7.394069
(1)	6.602053
(2)	1.072813
(3)	4.282815
(4)	9.380214
(5)	10.31689
(6)	6.033858
(7)	4.866437
(8)	3.845421
(9)	6.612089
(10)	4.337476
(11)	2.60564
(12)	13.41721
(13)	0.6584932
(14)	5.600096
(15)	5.904623
(16)	11.10649
(17)	5.587291
(18)	4.706167
(19)	6.114233
(20)	3.652189
(21)	4.844441
(22)	4.477262
(23)	2.603152
(24)	4.882748
(25)	2.313081
(26)	2.194751
(27)	1.501692
(28)	2.146971
(29)	1.862343
(30)	1.300393
(31)	1.382909
(32)	0.3316734
(33)	1.054511
(34)	0.7136188
(35)	3.124727
(36)	0.9187858
(37)	0.9793548
(38)	2.441796
(39)	1.932155
(40)	0.706508
(41)	0.1895223
(42)	0.7035813
(43)	0.9827568
(44)	1.564556
(45)	0.7421758
(46)	1.225267
(47)	0.7032854
(48)	2.110867
(49)	0.5585644
(50)	0.4502213
(51)	0.6381038
(52)	0.2997949
(53)	0.4536065
(54)	0.7089246
(55)	0.5811903
(56)	0.8163592
(57)	0.3908307
(58)	0.4169299
(59)	0.6983433
(60)	0.7687545
(61)	0.6742444
(62)	0.4991212
(63)	0.3889821
(64)	1.660584
(65)	0.3503473
(66)	0.3973947
(67)	0.6313832
(68)	0.6520262
(69)	0.5263824
(70)	0.6298522
(71)	0.9783519
(72)	0.1416682
(73)	0.4443347
(74)	0.507701
(75)	0.6002626
(76)	0.1235022
(77)	0.7679328
(78)	0.3823692
(79)	0.6123047
(80)	0.3299871
(81)	0.3968929
(82)	0.3770908
(83)	0.2279873
(84)	0.1899382
(85)	0.2035462
(86)	0.4807394
(87)	0.9112057
(88)	0.1887244
(89)	0.1548743
(90)	0.4281478
(91)	0.2482105
(92)	0.2299657
(93)	0.3918549
(94)	0.1974918
(95)	0.6225026
(96)	0.09511989
(97)	0.1567192
(98)	0.2222807
(99)	0.1265648
(100)	0.1862752
(101)	0.135538
(102)	0.3072807
(103)	0.1887828
(104)	0.2207802
(105)	0.1830422
(106)	0.1439417
(107)	0.0657686
(108)	0.2798421
(109)	0.09486723
(110)	0.08510437
(111)	0.1525736
(112)	0.06294308
(113)	0.2316013
(114)	0.218231
(115)	0.1082185
(116)	0.1479672
(117)	0.3239518
(118)	0.1782284
(119)	0.1540875
(120)	0.154096
(121)	0.1550671
(122)	0.1076034
(123)	0.180688
(124)	0.0506044
(125)	0.1718292
(126)	0.04668822
(127)	0.1160158
(128)	0.1596338
(129)	0.2835887
(130)	0.1221716
(131)	0.1096967
(132)	0.1156169
(133)	0.08944768
(134)	0.1359854
(135)	0.03707491
(136)	0.1386561
(137)	0.0995496
(138)	0.05214673
(139)	0.1058285
(140)	0.2748713
(141)	0.1400871
(142)	0.07305569
(143)	0.153768
(144)	0.0766177
(145)	0.1191966
(146)	0.03684911
(147)	0.1196829
(148)	0.02432388
(149)	0.147406
(150)	0.05216338
(151)	0.05799248
(152)	0.05599913
(153)	0.04214334
(154)	0.04529341
(155)	0.06244209
(156)	0.08038034
(157)	0.08650211
(158)	0.03819437
(159)	0.1511811
(160)	0.03858937
(161)	0.07024472
(162)	0.1177548
(163)	0.02355969
(164)	0.0444647
(165)	0.05722378
(166)	0.04234271
(167)	0.03078527
(168)	0.02948686
(169)	0.06748194
(170)	0.1194068
(171)	0.04660163
(172)	0.01597372
(173)	0.1212601
(174)	0.05737817
(175)	0.06663813
(176)	0.02328719
(177)	0.03448763
(178)	0.05079012
(179)	0.04426011
(180)	0.03511554
(181)	0.07697373
(0)	Frequencies (frq):
(0)	0.002739726
(1)	0.005479452
(2)	0.008219178
(3)	0.0109589
(4)	0.01369863
(5)	0.01643836
(6)	0.01917808
(7)	0.02191781
(8)	0.02465753
(9)	0.02739726
(10)	0.03013699
(11)	0.03287671
(12)	0.03561644
(13)	0.03835616
(14)	0.04109589
(15)	0.04383562
(16)	0.04657534
(17)	0.04931507
(18)	0.0520548
(19)	0.05479452
(20)	0.05753425
(21)	0.06027397
(22)	0.0630137
(23)	0.06575342
(24)	0.06849315
(25)	0.07123288
(26)	0.07397261
(27)	0.07671233
(28)	0.07945205
(29)	0.08219178
(30)	0.08493151
(31)	0.08767124
(32)	0.09041096
(33)	0.09315068
